,アンケート項目,回答内容
0,「第1章 生成AIとは」を10点満点で評価してください。,7
1,「第1章 生成AIとは」について意見があれば記載をお願いします。,基礎編としてとても良いバランスの構成だと思いました。
2,「第2章 生成AIのすごいところ」を10点満点で評価してください。,9
3,「第2章 生成AIのすごいところ」について意見があれば記載をお願いします。,非常に分かりやすく整理されており、初学者にも理解しやすい内容でした。
4,「第3章 Geminiのアカウント登録」を10点満点で評価してください。,9
5,「第3章 Geminiのアカウント登録」について意見があれば記載をお願いします。,最新動向についてもう少し深掘りがあると嬉しいです。
6,「第4章 Geminiの機能説明」を10点満点で評価してください。,7
7,「第4章 Geminiを機能説明」について意見があれば記載をお願いします。,基礎編としてとても良いバランスの構成だと思いました。
8,「第5章 Geminiを使ってみよう」を10点満点で評価してください。,7
9,「第5章 Geminiを使ってみよう」について意見があれば記載をお願いします。,実際の事例がもっとあるとさらにイメージしやすいと思いました。
10,「第6章 生成AIでメールの返信を作成する」を10点満点で評価してください。,7
11,「第6章 生成AIでメールの返信を作成する」について意見があれば記載をお願いします。,実際の事例がもっとあるとさらにイメージしやすいと思いました。
12,「第7章 まとめ」を10点満点で評価してください。,6
13,「第7章 まとめ」について意見があれば記載をお願いします。,非常に分かりやすく整理されており、初学者にも理解しやすい内容でした。
14,研修全体を10点満点で評価してください。,7
15,研修全体について意見があれば記載をお願いします。,生成AIの仕組みが明確に説明されていて良かったです。
